Date,Price,Monthly Return
2007-07-31,100.68,
2007-08-31,92.77,-0.07856575288041334
2007-09-30,101.04,0.08914519780101338
2007-10-31,108.12,0.07007125890736332
2007-11-30,108.29,0.0015723270440251014
2007-12-31,104.59,-0.03416751315910982
2008-01-31,103.47,-0.010708480734295867
2008-02-29,110.26,0.06562288586063603
2008-03-31,112.05,0.016234355160529512
2008-04-30,110.53,-0.013565372601517134
2008-05-31,91.13,-0.17551795892517874
2008-06-30,91.64,0.005596400746186836
2008-07-31,82.03,-0.10486687036228726
2008-08-31,69.98,-0.1468974765329757
2008-09-30,70.12,0.002000571591883382
2008-10-31,69.7,-0.0059897318881917405
2008-11-30,69.6,-0.0014347202295553751
2008-12-31,48.54,-0.3025862068965517
2009-01-31,47.48,-0.021837659662134357
2009-02-28,49.08,0.033698399326032025
2009-03-31,58.87,0.19947025264873686
2009-04-30,62.52,0.06200101919483614
2009-05-31,63.4,0.01407549584133072
2009-06-30,63.04,-0.005678233438485836
2009-07-31,67.72,0.07423857868020312
2009-08-31,74.49,0.0999704666272887
2009-09-30,80.49,0.08054772452678205
2009-10-31,79.86,-0.007827059262020097
2009-11-30,80.69,0.01039318807913836
2009-12-31,81.17,0.005948692526954957
2010-01-31,83.63,0.030306763582604423
2010-02-28,83.9,0.003228506516800289
2010-03-31,87.78,0.04624553039332535
2010-04-30,90.07,0.026087947140578605
2010-05-31,81.2,-0.09847896080826013
2010-06-30,82.54,0.016502463054187233
2010-07-31,89.07,0.07911315725708734
2010-08-31,83.69,-0.060401931065454106
2010-09-30,86.1,0.028796749910383612
2010-10-31,89.84,0.04343786295005825
2010-11-30,97.0,0.07969723953695462
2010-12-31,102.4,0.05567010309278353
2011-01-31,104.23,0.017871093749999956
2011-02-28,98.17,-0.05814065048450545
2011-03-31,105.16,0.07120301517775274
2011-04-30,104.66,-0.004754659566374997
2011-05-31,103.89,-0.007357156506783813
2011-06-30,101.67,-0.021368755414380547
2011-07-31,100.3,-0.013474968033834966
2011-08-31,94.95,-0.053339980059820435
2011-09-30,100.52,0.05866245392311731
2011-10-31,99.66,-0.008555511341026611
2011-11-30,96.16,-0.03511940598033314
2011-12-31,93.32,-0.0295341098169718
2012-01-31,100.84,0.0805829404200602
2012-02-29,108.22,0.07318524395081316
2012-03-31,114.66,0.05950840879689512
2012-04-30,118.9,0.03697889412175126
2012-05-31,117.19,-0.014381833473507188
2012-06-30,116.84,-0.0029866029524703297
2012-07-31,127.25,0.08909619993153028
2012-08-31,136.69,0.07418467583497046
2012-09-30,135.66,-0.007535298851415573
2012-10-31,138.83,0.023367241633495572
2012-11-30,146.76,0.05712021897284436
2012-12-31,149.6,0.01935132188607258
2013-01-31,154.42,0.0322192513368984
2013-02-28,158.57,0.02687475715580878
2013-03-31,157.68,-0.005612663177145705
2013-04-30,163.34,0.03589548452562141
2013-05-31,183.6,0.12403575364270836
2013-06-30,182.15,-0.007897603485838678
2013-07-31,209.07,0.1477902827340103
2013-08-31,192.5,-0.07925575166212273
2013-09-30,192.39,-0.0005714285714286671
2013-10-31,197.7,0.027600187119912745
2013-11-30,212.43,0.074506828528073
2013-12-31,226.3,0.06529209621993126
2014-01-31,243.81,0.07737516570923542
2014-02-28,229.71,-0.0578319182970346
2014-03-31,245.53,0.06886944408166817
2014-04-30,263.8,0.07441045900704601
2014-05-31,274.73,0.04143290371493569
2014-06-30,272.49,-0.008153459760492199
2014-07-31,282.64,0.037249073360490215
2014-08-31,266.63,-0.05664449476365696
2014-09-30,280.19,0.050856992836515014
2014-10-31,290.68,0.03743888075948476
2014-11-30,302.16,0.03949360121095369
2014-12-31,322.71,0.06801032565528176
2015-01-31,363.52,0.12646028942394105
2015-02-28,358.6,-0.013534330985915388
2015-03-31,322.09,-0.10181260457334085
2015-04-30,361.85,0.12344375795585094
2015-05-31,361.12,-0.0020174105292248834
2015-06-30,375.91,0.04095591493132478
2015-07-31,389.47,0.03607246415365384
2015-08-31,390.62,0.0029527306339383053
2015-09-30,358.29,-0.0827658594030003
2015-10-31,383.55,0.0705015490245331
2015-11-30,368.67,-0.03879546343371132
2015-12-31,378.32,0.026175170206417686
2016-01-31,369.61,-0.023022837809261953
2016-02-29,363.18,-0.017396715456832856
2016-03-31,378.53,0.04226554325678711
2016-04-30,391.48,0.03421129104694498
2016-05-31,403.23,0.030014304689894855
2016-06-30,416.4,0.03266126032289263
2016-07-31,439.57,0.05564361191162348
2016-08-31,447.36,0.01772186454944613
2016-09-30,464.76,0.03889484978540758
2016-10-31,463.43,-0.002861692056114973
2016-11-30,503.88,0.08728394795330474
2016-12-31,560.38,0.1121298721917916
2017-01-31,581.54,0.037760091366572546
2017-02-28,573.85,-0.0132235099907142
2017-03-31,569.4,-0.007754639714211087
2017-04-30,593.2,0.041798384264137844
2017-05-31,604.57,0.01916722859069453
2017-06-30,565.12,-0.06525298972823668
2017-07-31,549.3,-0.027994054360136023
2017-08-31,492.29,-0.10378663753868544
2017-09-30,495.1,0.005708017631883555
2017-10-31,468.85,-0.05301959200161588
2017-11-30,475.34,0.013842380292204304
2017-12-31,480.44,0.010729162283839022
2018-01-31,518.44,0.07909416368329047
2018-02-28,518.4,-7.715454054491033e-05
2018-03-31,553.68,0.06805555555555554
2018-04-30,552.44,-0.002239560757115844
2018-05-31,523.82,-0.05180653102599375
2018-06-30,511.85,-0.022851361154595184
2018-07-31,525.44,0.026550747289245002
2018-08-31,517.47,-0.015168239951279028
2018-09-30,510.27,-0.01391385007826551
2018-10-31,520.53,0.02010700217531891
