Date,Price,Monthly Return
2022-06-30,100.033,
2022-07-31,101.164,0.011306268931252639
2022-08-31,102.322,0.01144675971689546
2022-09-30,100.225,-0.020494126385332656
2022-10-31,101.686,0.014577201297081732
2022-11-30,105.645,0.03893357984383283
2022-12-31,98.9384,-0.0634824175304084
2023-01-31,99.1739,0.002380268935014085
2023-02-28,99.6258,0.004556642423056756
2023-03-31,101.412,0.017929090657239577
2023-04-30,105.119,0.036553859503806185
2023-05-31,104.695,-0.004033523910996206
2023-06-30,103.195,-0.014327331773246077
2023-07-31,119.217,0.1552594602451669
2023-08-31,112.115,-0.05957204090020718
2023-09-30,116.298,0.0373099050082506
2023-10-31,131.245,0.12852327641060035
2023-11-30,149.431,0.13856527867728308
2023-12-31,155.702,0.04196585715146117
2024-01-31,157.565,0.011965164223966207
2024-02-29,170.089,0.07948465712563069
2024-03-31,177.607,0.044200389208002955
2024-04-30,199.417,0.12279921399494387
2024-05-31,210.337,0.05475962430484849
2024-06-30,217.133,0.032310054816794054
2024-07-31,224.666,0.034693022249036254
2024-08-31,227.848,0.014163246775213079
2024-09-30,241.374,0.05936413749517211
2024-10-31,274.319,0.13648943133891822
2024-11-30,315.485,0.15006616384574167
2024-12-31,362.993,0.15058719115013375
2025-01-31,353.616,-0.0258324540693623
