Date,Actual Price,Predicted Price
2022-12-05,9544.7,9544.7
2022-12-06,9582.3,9582.3
2022-12-07,9676.3,9676.3
2022-12-08,9679.0,9679.0
2022-12-09,9730.9,9730.9
2022-12-10,9729.2,9729.2
2022-12-11,9729.2,9729.2
2022-12-12,9636.9,9636.9
2022-12-13,9808.7,9808.7
2022-12-14,9774.9,9774.9
2022-12-15,9637.1,9637.1
2022-12-16,9717.1,9717.1
2022-12-17,9738.3,9738.3
2022-12-18,9738.3,9738.3
2022-12-19,9681.7,9681.7
2022-12-20,9844.6,9844.6
2022-12-21,9845.3,9845.3
2022-12-22,9741.3,9741.3
2022-12-23,9754.7,9754.7
2022-12-24,9763.6,9763.6
2022-12-25,9763.6,9763.6
2022-12-26,9777.6,9777.6
2022-12-27,9876.9,9876.9
2022-12-28,9837.9,9837.9
2022-12-29,9907.6,9907.6
2022-12-30,9946.4,9946.4
2022-12-31,9948.0,9948.0
2023-01-01,9948.0,9948.0
2023-01-02,9955.6,9955.6
2023-01-03,10048.9,10048.9
2023-01-04,10118.5,10118.5
2023-01-05,10014.3,10014.3
2023-01-06,10226.5,10226.5
2023-01-07,10208.9,10208.9
2023-01-08,10208.9,10208.9
2023-01-09,10263.8,10263.8
2023-01-10,10321.3,10321.3
2023-01-11,10321.3,10321.3
2023-01-12,10436.1,10436.1
2023-01-13,10582.2,10582.2
2023-01-14,10542.8,10542.8
2023-01-15,10542.8,10542.8
2023-01-16,10560.5,10560.5
2023-01-17,10513.7,10513.7
2023-01-18,10483.7,10483.7
2023-01-19,10657.0,10657.0
2023-01-20,10676.6,10676.6
2023-01-21,10658.7,10658.7
2023-01-22,10658.7,10658.7
2023-01-23,10636.9,10636.9
2023-01-24,10801.6,10801.6
2023-01-25,10792.3,10792.3
2023-01-26,10721.6,10721.6
2023-01-27,11645.1,11645.1
2023-01-28,11634.9,11634.9
2023-01-29,11634.9,11634.9
2023-01-30,12045.5,12045.5
2023-01-31,12443.3,12443.3
2023-02-01,12520.8,12520.8
2023-02-02,12448.7,12448.7
2023-02-03,12137.1,12137.1
2023-02-04,12134.6,12134.6
2023-02-05,12134.6,12134.6
2023-02-06,12363.8,12363.8
2023-02-07,12446.8,12446.8
2023-02-08,12392.6,12392.6
2023-02-09,12189.6,12189.6
2023-02-10,12185.9,12185.9
2023-02-11,12094.2,12094.2
2023-02-12,12093.5,12093.5
2023-02-13,11903.3,11903.3
2023-02-14,11949.9,11949.9
2023-02-15,11720.7,11720.7
2023-02-16,11713.5,11713.5
2023-02-17,11696.8,11696.8
2023-02-18,11665.5,11665.5
2023-02-19,11551.4,11551.4
2023-02-20,11602.0,11602.0
2023-02-21,11609.4,11609.4
2023-02-22,11490.0,11490.0
2023-02-23,11456.6,11456.6
2023-02-24,11353.6,11353.6
2023-02-25,11344.2,11344.2
2023-02-26,11239.0,11239.0
2023-02-27,11373.4,11373.4
2023-02-28,11519.6,11519.6
2023-03-01,11596.4,11596.4
2023-03-02,11556.4,11556.4
2023-03-03,12452.6,12452.6
2023-03-04,12465.0,12465.0
2023-03-05,12458.2,12458.2
2023-03-06,12250.0,12250.0
2023-03-07,12043.5,12043.5
2023-03-08,12165.3,12165.3
2023-03-09,12262.0,12262.0
2023-03-10,12592.2,12592.2
2023-03-11,12557.2,12557.2
2023-03-12,12555.6,12555.6
2023-03-13,12920.3,12920.3
2023-03-14,12911.7,12911.7
2023-03-15,12996.2,12996.2
2023-03-16,13047.7,13047.7
2023-03-17,13411.5,13411.5
2023-03-18,13303.2,13303.2
2023-03-19,13297.6,13297.6
2023-03-20,13429.0,13429.0
2023-03-21,13149.5,13149.5
2023-03-22,13446.0,13446.0
2023-03-23,13592.2,13592.2
2023-03-24,13470.9,13470.9
2023-03-25,13486.5,13486.5
2023-03-26,13488.0,13488.0
2023-03-27,13341.8,13341.8
2023-03-28,13455.4,13455.4
2023-03-29,13400.1,13400.1
2023-03-30,13527.5,13527.5
2023-03-31,13460.6,13460.6
2023-04-01,13456.4,13456.4
2023-04-02,13456.7,13456.7
2023-04-03,13622.3,13622.3
2023-04-04,13968.6,13968.6
2023-04-05,14026.6,14026.6
2023-04-06,13902.0,13902.0
2023-04-07,13728.1,13728.1
2023-04-08,13728.1,13728.1
2023-04-09,13489.3,13489.3
2023-04-10,13487.6,13487.6
2023-04-11,13904.6,13904.6
2023-04-12,13966.2,13966.2
2023-04-13,13992.6,13992.6
2023-04-14,13734.5,13734.5
2023-04-15,13498.7,13498.7
2023-04-16,13499.1,13499.1
2023-04-17,13670.0,13670.0
