Date,Actual Price,Predicted Price
2022-01-01,10456.6,0.0
2022-01-02,10456.6,10448.64443691206
2022-01-03,10229.5,10449.723051150326
2022-01-04,10291.6,10241.21351778718
2022-01-05,10281.6,10299.677322423584
2022-01-06,10167.8,10290.24266291533
2022-01-07,10211.6,10178.739198327312
2022-01-08,10137.2,10219.275191464756
2022-01-09,10137.2,10140.826909775398
2022-01-10,10219.3,10140.738955801167
2022-01-11,10327.7,10211.349354370906
2022-01-12,10337.0,10317.627893039347
2022-01-13,10311.7,10323.9947798751
2022-01-14,10277.2,10307.734744383735
2022-01-15,10278.1,10273.00932933933
2022-01-16,10278.1,10280.566996975014
2022-01-17,10277.2,10277.174074074568
2022-01-18,10257.6,10282.24561454013
2022-01-19,10426.6,10259.287896527714
2022-01-20,10424.7,10427.059009332086
2022-01-21,10369.3,10420.145506410885
2022-01-22,10391.5,10378.700160056198
2022-01-23,10391.5,10393.626379643809
2022-01-24,10417.0,10401.182509274777
2022-01-25,10489.8,10419.102244217447
2022-01-26,10339.0,10495.409170698407
2022-01-27,10182.1,10343.932460804199
2022-01-28,10153.5,10200.877518827885
2022-01-29,10178.0,10158.825858938699
2022-01-30,10149.1,10182.699907682992
2022-01-31,10209.2,10140.640596521216
2022-02-01,10188.6,10202.24487232856
2022-02-02,10234.3,10170.17232206766
2022-02-03,10226.8,10223.911570993103
2022-02-04,10174.4,10206.81825187541
2022-02-05,10184.1,10170.509111015232
2022-02-06,10130.4,10171.543371505573
2022-02-07,10222.5,10132.106163283446
2022-02-08,10225.2,10213.67075155214
2022-02-09,10270.2,10225.80838767721
2022-02-10,10249.6,10266.402952787977
2022-02-11,10464.2,10255.193670812278
2022-02-12,10463.4,10460.285633181365
2022-02-13,10463.4,10465.474601010086
2022-02-14,10496.4,10472.325710954337
2022-02-15,10413.8,10507.061079777954
2022-02-16,10551.2,10430.811813466764
2022-02-17,10691.3,10564.305029825706
2022-02-18,10662.3,10695.47483470487
2022-02-19,10683.2,10672.804907709615
2022-02-20,10683.2,10693.604229999444
2022-02-21,10779.2,10694.709980553573
2022-02-22,10692.6,10786.554614212104
2022-02-23,10733.9,10702.057986970936
2022-02-24,10656.2,10744.23135081699
2022-02-25,10645.0,10662.492068119374
2022-02-26,10687.4,10655.112579572777
