Date,Price,Monthly Return
2008-06-30,100.49,
2008-07-31,102.05,0.015523932729624823
2008-08-31,93.89,-0.07996080352768242
2008-09-30,94.09,0.0021301523058898653
2008-10-31,94.09,0.0
2008-11-30,94.18,0.0009565309809755895
2008-12-31,70.52,-0.25122106604374617
2009-01-31,76.01,0.07785025524673861
2009-02-28,78.87,0.0376266280752533
2009-03-31,88.04,0.11626727526309111
2009-04-30,86.78,-0.014311676510676996
2009-05-31,91.9,0.05899976953215025
2009-06-30,90.85,-0.011425462459194846
2009-07-31,102.4,0.12713263621353899
2009-08-31,107.93,0.054003906249999956
2009-09-30,116.12,0.07588251644584454
2009-10-31,112.27,-0.03315535652773005
2009-11-30,112.48,0.001870490781152645
2009-12-31,113.4,0.008179231863442382
2010-01-31,114.15,0.006613756613756516
2010-02-28,114.88,0.006395094174332039
2010-03-31,121.05,0.053708217270195036
2010-04-30,121.51,0.003800082610491584
2010-05-31,107.8,-0.11283021973500129
2010-06-30,108.25,0.004174397031539989
2010-07-31,116.78,0.07879907621247106
2010-08-31,113.22,-0.03048467203288241
2010-09-30,113.48,0.0022964140611199113
2010-10-31,120.21,0.05930560451180811
2010-11-30,130.6,0.08643207719823653
2010-12-31,134.78,0.03200612557427274
2011-01-31,142.03,0.053791363703813655
2011-02-28,137.06,-0.034992607195662884
2011-03-31,146.78,0.07091784619874497
2011-04-30,153.35,0.04476086660307943
2011-05-31,153.8,0.002934463645255958
2011-06-30,152.31,-0.009687906371911637
2011-07-31,156.18,0.02540870592869804
2011-08-31,153.0,-0.020361121782558667
2011-09-30,161.91,0.05823529411764694
2011-10-31,162.16,0.0015440676919276086
2011-11-30,153.95,-0.05062900838677853
2011-12-31,144.81,-0.05936992530042218
2012-01-31,158.18,0.09232787790898422
2012-02-29,166.22,0.05082817043874055
2012-03-31,175.83,0.05781494405005416
2012-04-30,178.68,0.016208838082238497
2012-05-31,177.69,-0.005540631296171994
2012-06-30,180.17,0.013956891215037404
2012-07-31,188.93,0.04862074707220976
2012-08-31,202.7,0.07288413698195084
2012-09-30,200.87,-0.009028120374938275
2012-10-31,202.63,0.008761885796783941
2012-11-30,206.58,0.019493658392143454
2012-12-31,212.77,0.029964178526478813
2013-01-31,216.24,0.01630869013488745
2013-02-28,230.01,0.06367924528301883
2013-03-31,235.12,0.022216425372809878
2013-04-30,247.68,0.05341953045253489
2013-05-31,276.79,0.11753068475452211
2013-06-30,280.53,0.013512048845695013
2013-07-31,313.98,0.11923858410865162
2013-08-31,273.15,-0.13004012994458258
2013-09-30,274.32,0.004283360790774404
2013-10-31,281.39,0.025772820064158708
2013-11-30,316.11,0.12338746934859102
2013-12-31,331.94,0.05007750466609728
2014-01-31,338.01,0.018286437307947212
2014-02-28,330.15,-0.023253749889056596
2014-03-31,366.61,0.11043465091625038
2014-04-30,393.77,0.07408417664548139
2014-05-31,407.53,0.034944256799654516
2014-06-30,418.04,0.025789512428533
2014-07-31,429.29,0.026911300354033107
2014-08-31,398.53,-0.07165319481003529
2014-09-30,441.12,0.10686773894060675
2014-10-31,461.62,0.046472615161407216
2014-11-30,492.41,0.06669988302066643
2014-12-31,510.31,0.03635182063727371
2015-01-31,537.84,0.053947600478140734
2015-02-28,538.91,0.0019894392384351978
2015-03-31,486.42,-0.09740030802916988
2015-04-30,536.77,0.10351136877595479
2015-05-31,529.43,-0.013674385677291956
2015-06-30,551.95,0.04253631263812041
2015-07-31,558.4,0.011685841108795891
2015-08-31,549.59,-0.015777220630372346
2015-09-30,515.52,-0.061991666515038624
2015-10-31,547.22,0.06149130974549988
2015-11-30,521.25,-0.04745806074339398
2015-12-31,539.05,0.034148681055155894
2016-01-31,545.8,0.012522029496336184
2016-02-29,516.99,-0.052784902894833174
2016-03-31,535.63,0.03605485599334601
2016-04-30,553.91,0.034128036144353224
2016-05-31,570.17,0.029354949360004268
2016-06-30,574.73,0.007997614746479309
2016-07-31,600.79,0.04534303064047451
2016-08-31,619.24,0.03070956573844441
2016-09-30,667.27,0.07756281893934491
2016-10-31,642.83,-0.0366268526983079
2016-11-30,711.24,0.1064200488465068
2016-12-31,764.04,0.07423654462628648
2017-01-31,791.77,0.03629391131354387
2017-02-28,782.99,-0.011089078899175209
2017-03-31,798.71,0.02007688476225744
2017-04-30,834.6,0.04493495761916089
2017-05-31,854.16,0.023436376707404616
2017-06-30,793.17,-0.07140348412475417
2017-07-31,788.91,-0.0053708536631491555
2017-08-31,699.79,-0.11296599105094374
2017-09-30,690.75,-0.012918161162634445
2017-10-31,632.88,-0.08377850162866451
2017-11-30,640.61,0.012214005814688456
2017-12-31,625.99,-0.02282199778336269
2018-01-31,687.32,0.09797281106726952
2018-02-28,659.19,-0.04092707908979809
2018-03-31,674.4,0.02307377235698338
2018-04-30,677.55,0.004670818505338126
2018-05-31,645.67,-0.04705187809017786
2018-06-30,627.01,-0.028900212182693896
2018-07-31,621.18,-0.009298097319022092
2018-08-31,633.35,0.019591744743874706
2018-09-30,614.76,-0.0293518591616011
2018-10-31,625.72,0.01782809551694986
2018-11-30,605.6,-0.03215495748897268
2018-12-31,554.26,-0.08477542932628801
2019-01-31,594.83,0.07319669469202195
2019-02-28,582.96,-0.01995528134088731
2019-03-31,566.67,-0.027943598188555074
2019-04-30,537.7,-0.0511232286868899
2019-05-31,517.68,-0.0372326576157711
2019-06-30,488.39,-0.05657935404110637
2019-07-31,459.3,-0.05956305411658713
2019-08-31,433.43,-0.05632484215109945
2019-09-30,472.14,0.08931084604203665
2019-10-31,498.01,0.05479306985216259
