Date,Actual Price,Predicted Price
2022-01-01,7842.5,0.0
2022-01-02,7842.5,7839.118757176613
2022-01-03,7672.1,7839.669658354418
2022-01-04,7718.7,7679.165696288926
2022-01-05,7711.2,7723.255743818961
2022-01-06,7625.9,7713.129282994006
2022-01-07,7658.7,7630.766782228957
2022-01-08,7602.9,7659.099366842246
2022-01-09,7602.9,7602.383910999092
2022-01-10,7664.4,7601.095461860985
2022-01-11,7745.8,7656.595255653843
2022-01-12,7752.8,7735.627269079372
2022-01-13,7733.7,7743.182567067453
2022-01-14,7707.9,7730.06949514012
2022-01-15,7708.6,7706.511309980336
2022-01-16,7708.6,7711.035806452073
2022-01-17,7707.9,7710.4284812998
2022-01-18,7693.2,7712.663089659981
2022-01-19,7820.0,7696.951328712543
2022-01-20,7818.5,7820.986689030988
2022-01-21,7777.0,7817.056183194866
2022-01-22,7793.7,7784.092252934157
2022-01-23,7793.7,7796.482046811827
2022-01-24,7812.7,7800.267577289493
2022-01-25,7867.4,7814.774162351086
2022-01-26,7754.3,7870.397067553647
2022-01-27,7636.6,7758.140818959037
2022-01-28,7615.1,7649.247594185943
2022-01-29,7633.5,7619.020848798806
2022-01-30,7611.8,7635.563365775254
2022-01-31,7656.9,7605.515825620813
2022-02-01,7641.4,7650.517330233285
2022-02-02,7675.7,7628.012606622503
2022-02-03,7670.1,7667.167198861628
2022-02-04,7630.8,7655.919504046457
2022-02-05,7638.0,7627.477816016327
2022-02-06,7597.8,7629.558036301137
2022-02-07,7666.9,7598.777149552769
2022-02-08,7668.9,7661.192556363983
2022-02-09,7702.6,7669.015545547762
2022-02-10,7687.2,7700.560000119163
2022-02-11,7848.1,7690.955636705739
2022-02-12,7847.5,7845.796318736469
2022-02-13,7847.5,7848.5890771752465
2022-02-14,7872.3,7854.77245924803
2022-02-15,7810.3,7879.761600545563
2022-02-16,7913.4,7823.556681093701
2022-02-17,8018.5,7922.59342466613
2022-02-18,7996.7,8022.092056638957
2022-02-19,8012.4,8004.068221759806
2022-02-20,8012.4,8020.748368388009
2022-02-21,8084.4,8020.605557469553
2022-02-22,8019.4,8090.4997256221295
2022-02-23,8050.4,8026.170876145157
2022-02-24,7992.1,8058.740226618528
2022-02-25,7983.7,7996.513204876352
2022-02-26,8015.5,7991.821717814266
2022-02-27,8015.5,8013.376295305637
