Date,Price,Monthly Return
2021-07-31,10.73,
2021-08-31,10.87,0.013047530288909481
2021-09-30,10.53,-0.031278748850046
2021-10-31,11.2,0.06362773029439706
2021-11-30,10.79,-0.03660714285714284
2021-12-31,10.24,-0.05097312326227976
2022-01-31,10.51,0.0263671875
2022-02-28,10.56,0.004757373929590969
2022-03-31,10.25,-0.029356060606060663
2022-04-30,10.5,0.024390243902439046
2022-05-31,9.87,-0.06000000000000005
2022-06-30,9.41,-0.04660587639311031
2022-07-31,9.22,-0.020191285866099862
2022-08-31,10.02,0.08676789587852474
2022-09-30,9.92,-0.009980039920159611
2022-10-31,9.51,-0.04133064516129037
2022-11-30,9.94,0.045215562565720235
2022-12-31,9.93,-0.001006036217303774
2023-01-31,8.94,-0.09969788519637468
2023-02-28,10.3,0.15212527964205824
2023-03-31,10.3,0.0
2023-04-30,10.07,-0.022330097087378653
2023-05-31,10.2,0.012909632571995955
2023-06-30,10.2,0.0
2023-07-31,11.59,0.13627450980392153
2023-08-31,11.77,0.015530629853321765
2023-09-30,11.0,-0.06542056074766356
2023-10-31,10.86,-0.01272727272727281
2023-11-30,13.23,0.2182320441988952
2023-12-31,13.81,0.04383975812547236
2024-01-31,14.55,0.053584359160028905
2024-02-29,14.0,-0.037800687285223455
2024-03-31,14.6,0.04285714285714293
2024-04-30,16.05,0.09931506849315075
2024-05-31,16.76,0.04423676012461075
2024-06-30,17.77,0.06026252983293534
2024-07-31,16.0,-0.09960607765897578
2024-08-31,15.68,-0.020000000000000018
2024-09-30,16.45,0.049107142857142794
2024-10-31,18.4,0.11854103343465039
2024-11-30,20.32,0.10434782608695659
2024-12-31,22.62,0.11318897637795278
2025-01-31,22.56,-0.0026525198938992522
2025-02-28,22.41,-0.0066489361702126715
