Date,Price,Monthly Return
2021-07-31,13.97,
2021-08-31,13.75,-0.015748031496063075
2021-09-30,12.91,-0.061090909090909085
2021-10-31,13.5,0.04570100697133994
2021-11-30,12.7,-0.059259259259259345
2021-12-31,12.8,0.007874015748031704
2022-01-31,13.0,0.015625
2022-02-28,12.5,-0.038461538461538436
2022-03-31,12.35,-0.01200000000000001
2022-04-30,12.65,0.02429149797570851
2022-05-31,11.57,-0.0853754940711462
2022-06-30,10.11,-0.1261884183232499
2022-07-31,9.75,-0.035608308605341144
2022-08-31,10.26,0.05230769230769239
2022-09-30,9.7,-0.05458089668615984
2022-10-31,10.35,0.0670103092783505
2022-11-30,10.17,-0.017391304347826098
2022-12-31,10.02,-0.014749262536873142
2023-01-31,10.26,0.0239520958083832
2023-02-28,,0.0
2023-03-31,11.37,0.10818713450292394
2023-04-30,11.31,-0.005277044854881119
2023-05-31,11.58,0.023872679045092715
2023-06-30,11.2,-0.032815198618307506
2023-07-31,11.06,-0.012499999999999845
2023-08-31,11.1,0.0036166365280287938
2023-09-30,10.9,-0.018018018018017945
2023-10-31,11.46,0.05137614678899083
2023-11-30,14.49,0.26439790575916233
2023-12-31,14.37,-0.008281573498964856
2024-01-31,14.24,-0.009046624913013113
2024-02-29,14.91,0.0470505617977528
2024-03-31,15.4,0.032863849765258246
2024-04-30,16.91,0.09805194805194795
2024-05-31,17.49,0.0342992312241277
2024-06-30,19.1,0.09205260148656391
2024-07-31,17.48,-0.08481675392670163
2024-08-31,17.49,0.0005720823798625041
2024-09-30,18.34,0.04859919954259584
2024-10-31,19.19,0.04634678298800443
2024-11-30,21.05,0.09692548202188633
2024-12-31,23.65,0.12351543942992871
2025-01-31,24.51,0.0363636363636366
2025-02-28,24.58,0.002855977152182554
