Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Plan XII,AM1,N/A,"Jan 17, 2025",104.5359,17.25,14.47,12.56,12.96,13.16,16.45,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Plan XIII,AM1,N/A,"Jan 17, 2025",104.1519,17.03,12.33,13.10,11.30,11.70,16.84,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Plan XV,,N/A,"Jan 16, 2025",102.8489,17.62,17.51,11.64,17.98,15.54,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),HBL Mehfooz Munafa Fund Plan III,AM2++,N/A,"Jul 10, 2024",100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),HBL Mehfooz Munafa Fund Plan VI,,N/A,"Oct 16, 2024",100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan I),,N/A,"Jan 20, 2025",116.8765,24.92,19.14,41.76,7.48,17.44,13.71,29.79,27.53,25.62,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan II),,N/A,"Jan 08, 2025",100,21.00,19.68,18.32,(16.16),(2.38),14.88,20.44,21.37,20.99,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan III),,N/A,"Jan 20, 2025",111.2359,20.83,(7.29),8.61,(14.93),1.44,12.29,18.86,20.02,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan IX),AM2,N/A,"Jan 20, 2025",107.6668,21.69,15.66,11.97,13.63,15.06,15.67,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan VI),AM2,N/A,"Jan 20, 2025",110.7164,21.97,13.69,16.39,12.74,13.36,16.24,21.73,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan VIII),,N/A,"Jan 10, 2025",100,20.25,(3.86),20.08,2.91,7.79,15.14,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan X),,N/A,"Jan 20, 2025",102.0408,16.19,25.64,31.94,23.33,24.86,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XI),AM2,N/A,"Jan 20, 2025",102.143,9.78,19.20,44.53,6.61,17.47,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XII),AM2,N/A,"Jan 20, 2025",102.6139,12.89,10.71,9.34,9.97,11.13,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XIII),,N/A,"Jan 20, 2025",100.3809,27.81,27.81,18.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return II (Plan I),AM1,N/A,"Jan 20, 2025",107.082,19.87,11.21,7.41,10.23,11.08,14.79,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return II (Plan II),AM1,N/A,"Jan 20, 2025",103.8219,14.53,11.30,11.35,10.98,11.20,14.37,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return II (Plan III),,N/A,"Jan 20, 2025",104.1064,16.65,15.01,3.03,14.06,14.54,16.65,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return II (Plan IV),AM1,N/A,"Jan 20, 2025",103.3545,14.58,11.65,7.81,10.81,11.62,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return II (Plan V),AM1,N/A,"Jan 20, 2025",102.5256,13.36,11.90,7.99,10.83,11.75,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return III (Plan I),AM1,N/A,"Jan 20, 2025",111.6463,22.21,12.00,5.44,10.26,12.03,16.30,22.23,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return III (Plan II),,N/A,"Jan 20, 2025",109.4189,21.90,12.44,5.88,10.69,12.47,16.54,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return III (Plan III),AM1,N/A,"Jan 20, 2025",107.6583,20.40,11.78,8.07,10.91,11.70,15.51,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return III (Plan IV),,N/A,"Jan 20, 2025",105.1967,18.60,27.63,21.35,25.85,24.43,20.46,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB DCF Fixed Return III (Plan V),AM1,N/A,"Jan 20, 2025",103.9035,14.69,11.05,10.29,10.54,10.94,14.47,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB Pakistan Fixed Return Fund (MCB Pakistan Fixed Return Plan XIX),,N/A,"Jan 09, 2025",122.5775,66.73,1461.31,13029.62,883.70,451.52,165.36,98.35,76.30,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB Pakistan Fixed Return Plan 22,,N/A,"Jan 20, 2025",102.1702,14.67,11.55,7.41,10.58,11.48,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),MCB Pakistan Fixed Return Plan 23,,N/A,"Jan 20, 2025",100.9912,15.07,15.98,5.40,15.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan I (A),,N/A,"Jan 20, 2025",10.1076,7.41,N/A,N/A,N/A,11.62,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan II (A),,N/A,"Jan 20, 2025",10.1687,9.19,N/A,N/A,N/A,13.71,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan III (A),,N/A,"Jan 20, 2025",10.1312,9.21,N/A,N/A,N/A,12.50,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan IV (A),,N/A,"Jan 20, 2025",10.0386,4.14,N/A,N/A,N/A,4.70,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan V (A),,N/A,"Jan 20, 2025",10.0393,4.22,N/A,N/A,N/A,4.78,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan VIII,,N/A,"Jan 20, 2025",10,N/A,11.64,27.38,11.97,11.30,13.01,15.19,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan X (A),,N/A,"Jan 20, 2025",10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XII,,N/A,"Jan 20, 2025",11.12,20.21,N/A,N/A,N/A,12.03,16.30,22.40,20.21,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XIV( NBP Mustahkam Fund II),,N/A,"Jan 20, 2025",11.1378,20.75,N/A,N/A,N/A,12.07,16.57,22.78,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XIX,,N/A,"Jan 20, 2025",10.3878,17.02,N/A,N/A,N/A,4.10,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XV (NBP Mustahkam Fund II),,N/A,"Jan 09, 2025",10.8202,37.41,345.61,3110.53,236.53,118.27,50.42,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XVI (NBP Mustahkam Fund II),AM1,N/A,"Jan 20, 2025",11.0057,20.28,N/A,N/A,N/A,11.35,16.49,20.39,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XVII (NBP Mustahkam Fund II),AM1,N/A,"Jan 20, 2025",10.8633,19.10,N/A,N/A,N/A,11.74,16.49,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XVIII (NBP Mustahkam Fund II),AM1,N/A,"Jan 09, 2025",10.3296,29.32,144.99,1304.88,116.09,58.04,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),NBP Fixed Term Munafa Plan XX (NBP Mustahkam Fund II),AM1,N/A,"Jan 20, 2025",10.3016,12.37,N/A,N/A,N/A,12.82,12.23,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (N),,N/A,"Jan 20, 2025",102.5152,13.91,12.02,12.74,12.05,13.96,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (O),,N/A,"Jan 20, 2025",103.1037,18.27,15.98,4.31,15.23,16.60,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (P),,N/A,"Dec 19, 2024",100.0529,19.31,19.31,19.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (Q),,N/A,"Jan 20, 2025",101.5203,19.82,10.87,10.66,10.70,18.50,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (R),,N/A,"Jan 20, 2025",101.6628,19.58,12.75,13.40,12.62,20.23,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (S),,N/A,"Jan 20, 2025",162.9768,820.95,31.88,46.39,27.04,766.22,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (T),,N/A,"Jan 20, 2025",100.8842,10.41,11.84,11.06,11.75,10.76,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (U),,N/A,"Jan 20, 2025",369.0874,3637.66,11.50,12.05,12.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan I (V),,N/A,"Jan 20, 2025",101.1658,17.02,16.78,6.17,16.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (M),,N/A,"Jan 20, 2025",110.2119,18.93,8.66,4.20,8.01,10.04,14.18,17.57,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (Q),AM1,N/A,"Jan 20, 2025",108.477,17.09,10.88,11.61,10.91,11.06,13.35,17.19,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (S),AM1,N/A,"Jan 20, 2025",105.1358,14.88,8.94,11.50,11.59,9.52,12.94,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (T),AM1,N/A,"Jan 20, 2025",106.1024,18.72,11.32,9.45,10.68,11.24,15.10,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (U),,N/A,"Jan 20, 2025",103.1346,17.34,16.06,4.71,15.38,15.57,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (V),AM1,N/A,"Jan 20, 2025",101.5241,13.57,12.50,11.97,12.42,13.48,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan II (W),,N/A,"Dec 24, 2024",100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (G),,N/A,"Jan 20, 2025",110.2881,20.62,16.78,6.21,16.26,16.26,14.58,17.72,19.34,19.93,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (P),,N/A,"Jan 20, 2025",111.5186,20.78,9.86,6.97,9.05,9.79,13.88,19.47,20.60,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (Q),,N/A,"Dec 15, 2024",101.2652,14.90,15.58,13.07,15.58,14.91,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (R),AM1,N/A,"Jan 08, 2025",103.2055,14.81,14.02,27.41,13.44,14.21,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (S),AM1,N/A,"Jan 20, 2025",103.8037,15.96,15.27,3.29,14.33,14.81,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (T),,N/A,"Jan 20, 2025",102.7986,N/A,10.58,9.64,10.18,17.54,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (U),,N/A,"Jan 20, 2025",102.2165,13.05,11.39,9.60,11.05,11.46,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan III (V),,N/A,"Jan 20, 2025",102.0044,12.40,11.32,12.05,11.68,11.66,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (C),,N/A,"Jan 20, 2025",111.4625,24.78,10.90,4.85,9.31,11.00,14.80,20.32,25.43,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (D),,N/A,"Jan 20, 2025",111.1792,22.08,10.80,5.18,9.32,10.97,14.69,19.93,21.99,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (E),AM1,N/A,"Jan 20, 2025",110.2334,18.31,9.41,8.69,8.91,9.28,13.40,18.02,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (F),AM1,N/A,"Jan 20, 2025",104.4534,18.47,35.84,10.69,44.09,27.95,18.06,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (G),AM1,N/A,"Jan 20, 2025",107.1827,16.49,17.15,93.91,19.26,15.14,14.72,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (H),AM1,N/A,"Jan 20, 2025",106.3812,17.13,9.28,8.54,8.77,9.18,13.35,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (I),AM1,N/A,"Jan 20, 2025",103.9821,13.98,9.94,7.92,9.73,10.16,13.37,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),UBL Fixed Return Plan IV (J),,N/A,"Jan 20, 2025",103.8436,N/A,13.94,10.37,14.83,12.96,13.89,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Aggressive Fixed Income (Annualized Return ),AKD Aggressive Income Fund,A+(f),N/A,"Jan 20, 2025",56.5968,17.63,11.96,4.05,10.31,13.21,11.96,17.21,(6.95),(0.37),4.40,5.05
Open-End Funds,Aggressive Fixed Income (Annualized Return ),Alfalah GHP Income Multiplier Fund,A+(f),23,"Jan 16, 2025",59.5771,17.46,12.28,49.09,12.18,11.33,14.37,17.09,19.30,19.56,24.27,24.10
Open-End Funds,Aggressive Fixed Income (Annualized Return ),Alfalah Income & Growth Fund  (Formerly: Faysal Income & Growth Fund),A(f),N/A,"Jan 20, 2025",123.6062,23.32,15.32,15.11,15.45,1318.70,15.29,23.40,23.32,23.95,26.18,24.72
Open-End Funds,Aggressive Fixed Income (Annualized Return ),Askari High Yield Scheme,A(f),N/A,"Jan 20, 2025",112.2615,13.80,8.47,8.03,8.14,8.93,9.69,13.55,13.64,14.84,18.88,16.60
Open-End Funds,Aggressive Fixed Income (Annualized Return ),MCB Investment Savings Plan I,AM1,N/A,"Jan 20, 2025",111.6517,25.51,9.27,11.42,9.06,10.03,12.33,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Aggressive Fixed Income (Annualized Return ),Pakistan Income Enhancement Fund,A+(f),N/A,"Jan 20, 2025",61.4912,21.36,12.93,12.88,12.07,12.70,13.13,21.33,21.25,20.18,22.59,21.66
Open-End Funds,Aggressive Fixed Income (Annualized Return ),UBL Growth & Income Fund,A+(f),N/A,"Dec 31, 2024",107.7185,52.08,169.89,55.08,2.81,175.07,70.69,52.45,43.82,39.71,39.71,35.31
Open-End Funds,Balanced (Absolute Return ),HBL Multi Asset Fund,,N/A,"Jan 20, 2025",186.0669,34.38,(2.57),0.69,(1.24),0.80,20.67,33.01,43.68,57.50,134.14,97.06
Open-End Funds,Balanced (Absolute Return ),NBP Balanced Fund,,N/A,"Jan 20, 2025",34.9471,42.12,(0.94),0.34,(1.21),0.92,25.26,40.32,49.91,60.80,135.35,105.20
Open-End Funds,Balanced (Absolute Return ),Pakistan Capital Market Fund,,N/A,"Jan 20, 2025",22.35,30.63,(0.36),0.13,(2.66),3.19,17.76,29.04,42.92,55.02,147.42,109.26
Open-End Funds,Balanced (Absolute Return ),Unit Trust of Pakistan,,N/A,"Jan 20, 2025",299.74,31.88,(1.10),0.18,(1.81),1.96,17.79,30.53,38.55,54.35,126.81,104.86
Open-End Funds,Asset Allocation (Absolute Return ),AL Habib Asset Allocation Fund,,N/A,"Jan 20, 2025",157.6543,58.67,0.66,0.58,(0.55),4.85,34.45,54.51,70.38,107.50,210.18,177.99
Open-End Funds,Asset Allocation (Absolute Return ),Alfalah Asset Allocation Fund (Formerly: Faysal Asset Allocation Fund),,N/A,"Jan 20, 2025",88.5349,43.81,(0.02),0.35,(1.06),3.66,18.89,42.00,55.46,72.35,149.77,111.00
Open-End Funds,Asset Allocation (Absolute Return ),Alfalah Financial Value Fund (Alfalah Financial Value Plan I),,N/A,"Jan 17, 2025",128.29,28.61,0.57,0.04,0.50,1.12,3.94,9.38,15.05,21.73,N/A,N/A
Open-End Funds,Asset Allocation (Absolute Return ),Alfalah GHP Value Fund,,N/A,"Jan 17, 2025",66.0333,35.30,(1.02),1.06,(1.86),0.93,19.02,30.88,44.52,52.26,131.24,95.74
Open-End Funds,Asset Allocation (Absolute Return ),Allied Finergy Fund,,N/A,"Jan 20, 2025",13.5959,43.95,(2.74),(0.08),(1.95),2.62,30.62,41.92,61.53,76.50,190.72,149.89
Open-End Funds,Asset Allocation (Absolute Return ),Lakson Asset Allocation Developed Markets Fund,,N/A,"Jan 19, 2025",197.8298,6.45,0.31,0.02,0.26,0.56,1.85,5.30,9.40,11.43,33.93,48.63
Open-End Funds,Asset Allocation (Absolute Return ),Lakson Tactical Fund,,N/A,"Jan 20, 2025",110.3896,20.58,0.21,0.13,(0.05),1.49,9.59,19.73,27.54,37.93,78.09,62.65
Open-End Funds,Asset Allocation (Absolute Return ),MCB Pakistan Asset Allocation Fund,,N/A,"Jan 20, 2025",169.9835,41.92,(1.29),N/A,(2.91),3.15,25.75,39.82,57.65,72.81,189.61,134.29
Open-End Funds,Asset Allocation (Absolute Return ),MCB Pakistan Opportunity Fund (MCB Pakistan  Dividend Yield Plan),,N/A,"Jan 20, 2025",235.6011,36.04,1.58,0.93,(1.64),5.38,17.69,34.51,53.57,75.14,199.62,N/A
Open-End Funds,Asset Allocation (Absolute Return ),NBP Sarmaya Izafa Fund,,N/A,"Jan 20, 2025",32.3047,47.14,(0.86),0.29,(1.52),1.93,28.60,44.76,57.09,73.60,177.26,137.14
Open-End Funds,Asset Allocation (Absolute Return ),NIT Asset Allocation Fund,,N/A,"Jan 20, 2025",17.0261,30.62,(0.72),0.24,(2.07),3.69,21.42,28.13,38.21,51.18,112.99,108.98
Open-End Funds,Asset Allocation (Absolute Return ),Pak Oman Advantage Asset Allocation Fund,,N/A,"Jan 20, 2025",54.2555,35.57,(1.07),0.55,(1.32),5.03,31.35,36.58,36.46,44.75,104.08,84.07
Open-End Funds,Asset Allocation (Absolute Return ),UBL Asset Allocation Fund,,N/A,"Jan 20, 2025",243.2122,27.99,0.11,0.14,(0.45),1.90,15.79,26.34,36.45,47.14,104.81,98.21
Open-End Funds,Fund of Funds (Absolute Return ),ABL Financial Planning Fund (Active Plan),,N/A,"Jan 20, 2025",112.8976,40.87,(0.52),0.38,(0.71),10.88,32.57,41.29,49.69,65.98,144.99,107.53
Open-End Funds,Fund of Funds (Absolute Return ),ABL Financial Planning Fund (Conservative Plan),,N/A,"Jan 20, 2025",127.7948,16.51,0.69,0.13,0.42,1.15,8.09,15.01,21.69,29.72,64.47,70.75
Open-End Funds,Fund of Funds (Absolute Return ),ABL Financial Planning Fund (Strategic Allocation Plan),,N/A,"Jan 20, 2025",114.4859,46.60,(0.52),0.35,(1.28),6.60,32.79,45.25,57.15,72.95,154.86,117.59
Open-End Funds,Fund of Funds (Absolute Return ),Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan),,N/A,"Jan 16, 2025",136.8752,46.88,(2.21),(0.82),(4.14),(2.91),29.15,42.86,61.15,76.55,155.67,139.32
Open-End Funds,Fund of Funds (Absolute Return ),Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan),,N/A,"Jan 16, 2025",127.6151,17.72,N/A,(0.13),(0.41),0.20,9.36,16.09,28.58,35.60,71.32,86.64
Open-End Funds,Fund of Funds (Absolute Return ),Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan),,N/A,"Jan 16, 2025",125.9506,27.46,(0.52),(0.29),(1.35),(0.66),16.17,25.17,35.45,43.59,94.46,99.99
Open-End Funds,Fund of Funds (Absolute Return ),Alfalah GHP Prosperity Planning Fund (Capital Preservation Plan IV),,N/A,"Jan 16, 2025",124.7862,24.79,(0.05),(0.11),(0.66),1.12,13.34,23.22,N/A,N/A,N/A,N/A
Open-End Funds,Fund of Funds (Absolute Return ),Alfalah Strategic Allocation Fund Plan - I,,N/A,"Jan 17, 2025",100.4805,0.65,(0.86),1.18,(0.93),(0.40),N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fund of Funds (Absolute Return ),JS Fund of Funds,,N/A,"Jan 20, 2025",130.05,25.49,(1.09),0.35,(2.06),1.86,15.27,21.98,33.81,48.94,121.40,121.10
Open-End Funds,Index Tracker (Absolute Return ),AKD Index Tracker Fund,,N/A,"Jan 20, 2025",30.1868,44.21,0.06,0.48,(0.87),5.09,31.75,42.59,42.99,61.94,160.77,121.11
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),ABL Islamic Cash Fund,AA+(f),N/A,"Jan 21, 2025",10.0639,16.57,11.11,10.88,11.03,11.37,13.48,15.89,17.69,19.16,21.80,21.22
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),ABL Islamic Money Market Plan I,AA+(f),N/A,"Jan 21, 2025",10.8894,18.40,10.23,11.39,10.37,11.09,13.30,15.31,16.96,18.22,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),AKD Islamic Daily Dividend Fund,,N/A,"Jan 21, 2025",50,23.82,9.12,13.87,9.88,14.26,16.91,19.78,29.44,27.64,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Al Ameen Islamic Cash Fund,AA+(f),N/A,"Jan 21, 2025",110.2967,16.13,10.07,14.05,10.36,10.81,13.21,15.71,17.40,18.62,21.43,20.43
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Al Ameen Islamic Cash Plan I,AA+(f),N/A,"Jan 21, 2025",109.224,16.23,10.02,12.52,10.32,11.43,13.16,15.76,17.85,19.27,21.91,21.24
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),AL Habib Islamic Cash Fund,AA+(f),N/A,"Jan 21, 2025",108.5495,15.30,11.10,9.78,11.19,11.09,11.91,14.69,16.62,18.08,20.98,20.50
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Alfalah Islamic Money Market Fund,,N/A,"Jan 15, 2025",109.2339,16.51,10.24,11.79,10.20,11.32,13.68,16.07,17.94,19.09,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Alfalah Islamic Rozana Amdani Fund,AA(f),N/A,"Jan 17, 2025",100,16.35,8.64,16.68,9.80,10.91,13.41,16.00,15.27,12.14,14.50,15.62
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Alhamra Cash Management Optimizer,,N/A,"Jan 21, 2025",109.4708,16.63,11.31,10.99,12.27,11.36,13.55,16.21,17.90,19.12,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Alhamra Islamic Money Market Fund,AA+(f),N/A,"Jan 20, 2025",99.51,16.67,11.72,6.39,13.08,11.60,13.57,16.20,17.92,19.14,21.81,21.21
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Atlas Islamic Cash Fund,AM2+,N/A,"Jan 20, 2025",505.0306,15.92,11.24,15.29,11.86,11.52,13.31,15.42,N/A,N/A,N/A,N/A
Open-End Funds,Shariah Compliant Money Market (Annualized Return ),Atlas Islamic Money Market Fund,AA(f),N/A,"Jan 20, 2025",550.4148,16.56,10.77,12.08,11.20,11.49,13.29,16.03,17.88,19.09,21.94,21.11
