Date,Gold Price (oz),Gold Price (gram),Monthly Return
2013-01-31,162576.0,5226.94,
2013-02-28,155341.0,4994.34,-0.04450022384033481
2013-03-31,156953.0,5046.17,0.010377747610294863
2013-04-30,145383.0,4674.16,-0.07372125790450978
2013-05-31,136617.0,4392.34,-0.060293186369315466
2013-06-30,122897.0,3951.22,-0.10042938388194
2013-07-31,134556.0,4326.07,0.09486943273216886
2013-08-31,145583.0,4680.61,0.08195429107712071
2013-09-30,141028.0,4534.15,-0.0312907932940365
2013-10-31,141175.0,4538.9,0.0010476053946164576
2013-11-30,136080.0,4375.07,-0.03609464848311261
2013-12-31,127172.0,4088.67,-0.06546180975390103
2014-01-31,131404.0,4224.75,0.03328221646647922
2014-02-28,139224.0,4476.16,0.05950884667731815
2014-03-31,126105.0,4054.38,-0.09422808836145258
2014-04-30,127395.0,4095.85,0.010228444299744899
2014-05-31,123331.0,3965.17,-0.031905465288035395
2014-06-30,131143.0,4216.33,0.06334154651629054
2014-07-31,126603.0,4070.37,-0.03461778371237545
2014-08-31,131127.0,4215.83,0.03573630898419555
2014-09-30,123660.0,3975.75,-0.05694726779780013
2014-10-31,121099.0,3893.43,-0.02070552725900776
2014-11-30,118704.0,3816.44,-0.019774337794695063
2014-12-31,119280.0,3834.93,0.004844829212564461
2015-01-31,129907.0,4176.6,0.08909419467891211
2015-02-28,123618.0,3974.42,-0.04840779581477761
2015-03-31,120643.0,3878.78,-0.024063888567388392
2015-04-30,120744.0,3882.0,0.0008301579362581801
2015-05-31,121405.0,3903.26,0.005476558475012938
2015-06-30,119606.0,3845.43,-0.014815820621736808
2015-07-31,111386.0,3581.13,-0.06873093516199746
2015-08-31,118155.0,3798.77,0.060774113198906354
2015-09-30,116463.0,3744.37,-0.014320424769070028
2015-10-31,120560.0,3876.09,0.035178147458718056
2015-11-30,112366.0,3612.64,-0.06796797803972565
2015-12-31,111357.0,3580.22,-0.008974046680543912
2016-01-31,117307.0,3771.5,0.05342688438140675
2016-02-29,129662.0,4168.74,0.10532679305316184
2016-03-31,129335.0,4158.21,-0.0025259430907179636
2016-04-30,134085.0,4310.94,0.03672974669388984
2016-05-31,127387.0,4095.6,-0.04995198263023837
2016-06-30,138446.0,4451.15,0.08681267701924011
2016-07-31,141622.0,4553.25,0.022937892454758968
2016-08-31,137051.0,4406.29,-0.03227584692252783
2016-09-30,136990.0,4404.33,-0.00044481865696544
2016-10-31,133140.0,4280.56,-0.028101890639438798
2016-11-30,122994.0,3954.34,-0.07620965481152009
2016-12-31,120219.0,3865.12,-0.022562551525665553
2017-01-31,126489.0,4066.73,0.052161381794096906
2017-02-28,130589.0,4198.52,0.032406872351988136
2017-03-31,130968.0,4210.7,0.002901022264988562
2017-04-30,133363.0,4287.72,0.01829149547581177
2017-05-31,132717.0,4266.95,-0.00484406631030021
2017-06-30,129907.0,4176.61,-0.021172031544780312
2017-07-31,132421.0,4257.44,0.019353015962706666
2017-08-31,138366.0,4448.58,0.044895524070803106
2017-09-30,135583.0,4359.09,-0.020116531567376472
2017-10-31,133653.0,4297.04,-0.014234622363841987
2017-11-30,134295.0,4317.69,0.004805633645486029
2017-12-31,143990.0,4629.39,0.07219138011297721
2018-01-31,148757.0,4782.64,0.03310371344820817
2018-02-28,145778.0,4686.88,-0.020022414398742194
2018-03-31,152831.0,4913.63,0.048379732359266736
2018-04-30,152282.0,4895.98,-0.0035920490553827955
2018-05-31,150365.0,4834.35,-0.012587878218456638
2018-06-30,152516.0,4903.49,0.01430181927249774
2018-07-31,151169.0,4860.19,-0.008830445254298547
2018-08-31,147725.0,4749.47,-0.022781002388795324
2018-09-30,147346.0,4737.29,-0.002564496670154792
2018-10-31,162395.0,5221.11,0.10213012080746586
2018-11-30,164024.0,5273.51,0.010036180046005594
2018-12-31,179415.0,5768.34,0.09383313959772521
2019-01-31,184705.0,5938.41,0.029483352229584092
2019-02-28,183542.0,5901.01,-0.006297982119792933
2019-03-31,181963.0,5850.25,-0.008601917298903139
